V1	V2	V3	V4	V5	V6	V7
ENSG00000088826	ENSG00000091140	ENSG00000135069	ENSG00000185813	ENSG00000204370		
ENSG00000088826	ENSG00000091140	ENSG00000117118	ENSG00000135069	ENSG00000185813		
ENSG00000088826	ENSG00000135069	ENSG00000138030	ENSG00000185813	ENSG00000204370		
ENSG00000062485	ENSG00000088826	ENSG00000135069	ENSG00000178445	ENSG00000185813		
ENSG00000088826	ENSG00000135069	ENSG00000143252	ENSG00000178445	ENSG00000185813		
ENSG00000088826	ENSG00000091140	ENSG00000135069	ENSG00000143252	ENSG00000185813		
ENSG00000088826	ENSG00000135069	ENSG00000178445	ENSG00000185813	ENSG00000204370		
ENSG00000065154	ENSG00000088826	ENSG00000091140	ENSG00000135069	ENSG00000185813		
ENSG00000073578	ENSG00000088826	ENSG00000091140	ENSG00000135069	ENSG00000185813		
ENSG00000073578	ENSG00000088826	ENSG00000135069	ENSG00000145020	ENSG00000185813		
ENSG00000088826	ENSG00000135069	ENSG00000140905	ENSG00000185813	ENSG00000204370		
ENSG00000062485	ENSG00000088826	ENSG00000135069	ENSG00000140905	ENSG00000185813		
ENSG00000073578	ENSG00000088826	ENSG00000135069	ENSG00000140905	ENSG00000185813		
ENSG00000088826	ENSG00000116649	ENSG00000135069	ENSG00000140905	ENSG00000185813		
ENSG00000065154	ENSG00000088826	ENSG00000135069	ENSG00000140905	ENSG00000185813		
ENSG00000088826	ENSG00000135069	ENSG00000140905	ENSG00000143252	ENSG00000185813		
ENSG00000088826	ENSG00000135069	ENSG00000143252	ENSG00000145020	ENSG00000185813		
